"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"15_09";8;4;5;17;17;4;5;3;3;2;29;4;18;3;4;9;21;18;38;17;9;33;10;16;22;6;14;19;20;26;13;14;9;9;10;17;20;11;5;4;26;20;12;8;23;16;19;5;6;6;7;-;2;13;5;5;-;6;18;17;14;10;6;31;29;7;6;12;29;5;7;5;9;21;19;19;19;41;8;-;3;6;22;7;10;14;15;2;17;5;15;9;8;9;10;12;19;40;1250
"16_09";10;5;8;6;22;5;7;6;1;1;27;6;9;1;8;12;23;14;30;12;11;23;17;12;20;5;5;8;17;26;11;10;10;14;10;22;26;12;2;4;23;17;17;9;28;5;17;7;6;7;7;-;6;11;7;2;3;13;19;13;11;3;9;24;12;5;6;13;33;9;14;4;13;22;15;9;21;27;10;2;3;10;25;6;11;9;15;1;11;4;9;14;12;12;14;15;17;32;1177
"17_09";10;2;9;11;19;4;5;3;1;2;22;4;9;6;1;15;29;17;36;8;6;41;20;19;17;6;8;14;21;25;8;10;14;17;13;18;19;11;1;5;24;25;8;10;26;14;17;10;8;9;6;-;14;14;10;7;1;7;9;16;11;6;6;22;13;8;9;13;29;9;5;6;13;22;8;4;14;40;12;1;2;15;27;7;18;12;8;3;15;7;13;16;13;15;20;8;21;39;1251
"18_09";12;9;5;11;12;3;9;4;5;3;19;4;5;4;5;4;37;13;41;10;3;29;18;12;18;8;9;9;17;29;5;11;11;17;6;13;31;6;1;4;23;22;16;14;27;14;12;7;7;8;5;1;16;14;15;5;2;8;13;10;18;15;12;24;12;9;6;9;34;8;22;6;14;27;21;6;11;30;11;-;-;11;15;7;12;13;13;4;11;7;7;10;12;9;11;13;22;29;1212
"19_09";1;2;2;4;9;2;1;2;1;1;2;2;1;1;5;4;-;6;13;8;1;3;3;6;4;2;4;10;8;10;2;9;3;1;2;13;8;4;-;-;9;12;7;3;10;7;4;1;3;5;6;-;6;4;1;3;-;1;17;2;5;2;1;10;5;7;3;1;11;2;2;1;2;3;4;2;4;13;1;1;3;-;3;4;5;5;3;-;3;-;5;2;8;3;4;2;5;13;409
"20_09";3;-;5;1;3;-;2;4;-;1;8;-;2;4;3;8;8;5;14;-;1;4;4;3;3;2;5;3;3;11;2;2;1;-;1;4;3;1;1;3;3;13;2;2;-;2;6;3;3;3;4;-;3;2;-;1;-;-;6;2;2;2;2;3;2;2;1;2;7;3;6;3;1;5;7;2;1;6;2;2;1;3;7;3;2;5;1;3;6;-;8;6;2;2;3;1;17;13;327
"21_09";10;6;3;16;20;2;13;2;8;6;44;3;14;6;12;11;23;24;48;16;2;41;16;18;30;5;8;16;25;38;15;14;10;14;20;19;33;14;2;2;23;18;19;18;53;11;24;6;4;7;14;1;12;11;13;9;3;6;13;19;16;9;9;18;25;10;11;18;39;12;16;13;11;20;25;10;20;32;21;1;4;19;27;11;18;21;19;6;21;5;12;29;15;15;20;16;28;39;1574
"22_09";6;3;5;14;15;1;7;8;3;7;21;6;14;4;10;12;20;13;30;11;11;32;12;20;24;7;11;20;20;19;12;15;9;10;13;25;15;14;3;1;20;24;10;21;21;10;15;4;7;7;10;-;7;20;9;5;1;5;12;15;17;3;5;25;16;7;3;16;30;8;13;3;10;19;25;2;19;38;4;-;2;14;29;11;19;22;15;4;8;4;6;22;13;12;14;7;16;26;1233
"23_09";8;2;10;12;14;3;10;5;2;2;16;10;15;3;7;5;18;10;30;11;12;17;7;22;16;5;5;13;23;25;11;11;10;10;8;20;22;10;3;3;17;25;10;70;30;19;15;8;6;5;9;-;5;16;11;8;3;11;10;6;15;6;7;21;18;5;3;9;28;6;19;7;14;17;23;7;19;28;12;1;3;15;23;12;10;17;13;5;9;4;16;20;9;13;7;18;24;35;1248
"24_09";10;11;9;12;15;2;15;4;5;3;23;7;7;5;7;14;31;13;24;10;6;22;10;17;30;3;13;13;8;16;8;12;10;10;11;29;27;5;2;4;21;6;18;38;27;6;13;4;6;16;9;-;7;9;11;15;-;11;8;19;13;8;7;21;17;6;3;13;33;10;6;4;9;27;16;11;13;36;10;1;4;20;33;6;9;16;13;3;12;6;4;9;13;11;16;6;27;32;1231
"25_09";15;3;11;12;22;3;5;5;1;4;23;5;8;4;3;5;19;12;34;17;11;13;11;23;17;8;5;17;12;18;13;18;8;6;11;20;24;5;2;2;17;10;19;12;23;11;12;2;10;8;8;-;5;10;7;2;2;12;8;11;14;5;4;26;14;9;3;19;30;4;6;11;10;12;14;8;12;29;8;1;1;9;18;9;9;16;12;3;17;4;8;18;13;5;15;12;12;24;1088
"26_09";7;-;-;5;2;-;-;1;1;-;12;2;3;-;1;4;7;7;16;4;-;4;3;4;10;3;7;5;5;13;5;3;10;4;4;3;5;4;-;1;9;10;9;4;5;2;4;4;-;2;3;1;2;8;-;2;1;-;14;8;6;2;2;6;4;4;2;2;14;5;1;3;5;3;7;1;1;13;4;-;1;3;7;1;2;7;5;-;2;3;3;2;5;3;3;1;14;8;408
