"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ign";"Localizado fora do MSP";"Total"
"17_10";6;2;1;1;8;1;2;1;-;-;23;1;6;-;1;10;18;4;12;8;2;61;10;4;9;1;3;7;11;21;4;4;5;2;5;7;6;3;2;3;15;13;8;2;3;2;9;5;1;-;1;-;3;1;14;23;-;2;6;6;2;4;5;9;2;6;5;2;18;6;4;2;1;5;9;5;13;14;6;1;5;5;5;1;8;11;2;2;5;1;5;4;6;3;6;75;15;12;679
"18_10";3;1;1;4;3;1;4;-;1;1;2;10;2;4;1;1;-;2;8;2;-;1;3;3;5;1;5;4;2;4;2;-;3;5;5;7;1;2;-;1;3;3;2;5;4;1;2;4;-;3;-;-;-;5;24;2;-;2;-;-;2;3;1;3;1;2;11;7;12;2;-;4;2;4;3;6;6;3;4;1;-;5;1;-;2;6;-;-;2;1;2;4;2;-;2;1;13;5;288
"19_10";11;6;14;15;13;6;8;5;2;2;43;5;16;2;7;9;24;11;53;20;3;31;13;11;17;6;15;4;20;31;9;4;15;20;8;25;15;6;5;6;21;44;8;12;35;15;16;18;5;6;11;-;16;12;12;3;2;11;39;16;19;8;6;16;5;7;15;14;41;24;9;5;38;23;16;7;2;60;28;-;4;5;10;4;17;18;16;2;8;2;9;17;7;4;28;16;15;42;1405
"20_10";6;2;5;11;8;5;6;3;3;4;20;5;10;7;5;12;27;11;58;11;5;32;10;4;13;8;19;4;28;29;9;5;18;14;20;11;22;2;-;1;32;19;7;7;29;2;19;14;8;9;10;2;7;5;4;5;1;10;34;11;8;16;12;24;3;14;21;11;39;4;3;9;13;12;9;1;21;22;12;1;3;4;12;12;12;19;18;8;7;6;5;11;12;11;32;21;47;31;1234
"21_10";7;8;3;5;12;4;10;5;6;6;33;1;15;1;2;13;24;15;62;16;2;21;17;13;10;3;9;8;25;22;5;10;9;7;5;19;12;11;1;4;22;31;15;13;28;13;7;21;4;11;5;-;7;7;1;7;-;7;14;13;20;6;7;25;9;6;4;11;29;8;6;4;18;10;19;1;13;29;13;3;2;11;14;4;9;15;10;10;4;1;3;13;9;12;19;14;56;18;1152
"22_10";10;5;12;12;13;13;8;5;3;-;37;5;13;3;7;13;24;20;58;21;4;25;18;11;6;7;6;7;29;23;4;11;20;14;45;21;24;9;5;4;53;20;13;13;32;3;12;9;5;10;8;-;14;7;10;2;-;10;12;14;18;12;12;28;7;5;3;15;35;5;9;8;33;32;16;21;22;36;12;4;1;13;17;7;12;18;29;4;19;4;6;24;7;8;13;10;32;46;1425
"23_10";9;2;8;17;11;5;12;10;4;3;24;8;12;2;14;19;36;12;48;23;5;25;16;13;13;10;32;13;44;18;13;6;29;10;31;21;36;10;4;2;23;20;15;15;18;14;6;9;4;8;6;1;16;3;11;6;3;9;13;16;16;10;10;28;7;8;22;13;68;9;12;6;17;23;22;7;9;32;22;2;3;26;13;4;21;19;18;7;8;8;11;24;17;4;10;22;38;24;1466
"24_10";3;2;2;7;5;1;3;1;-;2;8;5;1;2;3;6;8;5;17;7;1;9;8;2;7;3;3;4;9;11;1;4;5;3;1;6;6;1;1;3;13;9;6;17;12;2;3;6;5;2;2;-;10;-;-;2;1;3;4;10;1;9;5;12;3;4;-;3;11;2;5;4;5;3;8;8;4;10;5;-;1;3;3;4;6;7;3;1;7;2;1;5;2;5;1;3;19;9;467
"25_10";1;-;2;1;2;-;1;2;1;-;2;3;6;-;6;10;3;-;11;-;1;2;3;-;3;-;2;-;6;3;-;2;-;4;3;3;1;-;2;-;6;10;8;1;2;5;1;1;1;-;-;-;1;3;1;1;1;-;4;-;3;1;-;10;4;-;1;3;6;4;5;1;5;3;7;3;1;1;1;-;-;1;1;-;8;5;3;-;-;1;-;-;1;4;1;4;5;5;230
"26_10";8;9;12;22;16;3;12;13;3;2;46;6;10;5;11;10;39;20;99;9;4;31;28;10;11;8;17;13;40;25;21;12;23;26;20;25;24;7;5;7;40;32;13;19;30;12;9;12;3;5;-;2;17;11;8;8;-;7;19;14;21;14;13;37;10;13;2;21;58;8;14;14;16;22;18;10;31;49;14;-;3;13;21;8;25;24;19;5;8;1;10;8;18;27;7;16;58;25;1654
"27_10";8;4;7;16;12;-;5;-;1;4;32;3;13;2;11;12;39;14;65;8;5;25;39;8;11;3;16;6;34;35;9;9;16;12;8;20;33;12;3;4;32;27;18;14;29;13;17;17;5;7;6;-;14;10;6;10;3;15;19;10;16;6;6;39;9;19;7;15;48;10;5;8;12;15;14;6;7;18;16;2;4;7;13;3;14;16;16;-;12;5;4;16;14;6;14;10;40;20;1328
"28_10";5;4;4;18;15;5;11;7;1;5;32;4;10;2;5;19;16;12;36;7;5;12;33;4;19;3;13;11;21;31;5;11;24;10;21;9;16;9;2;2;32;55;8;15;21;6;11;12;5;7;5;-;13;6;9;17;-;14;14;13;7;11;13;18;8;11;5;19;56;6;7;4;12;22;18;1;28;34;17;3;4;11;15;12;26;12;10;2;7;8;5;11;9;10;16;11;51;23;1285
"29_10";11;4;5;13;11;3;13;4;1;5;25;6;5;4;15;15;29;15;59;10;9;10;28;10;18;6;14;7;28;14;5;6;28;22;21;14;19;12;5;3;29;36;17;21;19;7;14;11;17;10;6;1;10;5;7;12;2;6;11;21;14;7;11;26;5;11;3;12;61;8;5;10;4;9;14;8;11;32;14;2;3;12;8;9;19;13;11;3;16;5;2;12;11;7;13;13;40;27;1285
"30_10";9;6;8;9;13;2;3;1;3;-;4;4;5;5;5;10;19;10;27;11;5;9;14;11;4;5;13;4;13;14;3;3;19;14;2;14;17;-;1;2;20;15;10;8;11;8;7;9;2;3;4;-;13;9;9;7;2;10;1;12;22;3;9;19;12;9;2;9;37;5;6;6;4;15;13;4;9;25;21;-;2;9;4;11;10;8;11;4;6;4;3;12;11;13;10;16;12;14;871
"31_10";2;1;2;9;10;-;3;1;-;1;7;1;2;-;5;2;10;5;16;3;3;4;4;3;3;-;5;1;10;3;5;5;6;12;1;2;12;2;-;-;13;9;5;3;4;3;6;2;2;1;4;1;3;3;1;7;-;5;3;3;2;5;2;6;1;4;-;1;13;-;2;2;2;2;5;1;3;10;4;1;1;6;2;-;7;4;4;4;-;2;-;4;5;-;2;5;19;9;379
"01_11";-;-;1;5;3;-;1;1;-;1;3;1;4;2;-;2;4;2;11;2;-;4;4;1;1;1;3;-;5;6;1;2;4;3;1;2;1;5;2;-;7;7;-;-;3;1;1;2;2;2;2;-;1;-;1;1;-;-;-;1;1;2;7;3;-;-;1;1;7;-;1;6;1;1;5;3;3;6;2;1;-;-;4;1;2;2;2;-;-;-;2;2;5;2;-;3;17;7;220
"02_11";1;2;1;7;4;1;2;1;-;3;15;1;1;3;1;6;9;10;19;3;3;6;2;4;2;2;4;8;8;7;-;2;8;4;9;5;6;1;2;-;8;9;19;2;17;2;3;1;-;-;2;-;3;2;2;4;-;5;5;1;-;6;1;7;3;4;2;5;21;3;1;6;6;5;5;1;3;15;4;-;3;2;3;4;6;3;3;1;1;1;1;9;5;2;2;9;12;8;431
"03_11";7;3;6;12;12;4;3;3;1;4;22;7;14;2;11;7;30;17;33;12;10;21;14;12;29;10;21;14;34;13;22;7;22;14;13;16;24;6;1;2;25;18;21;11;30;11;12;8;4;9;7;-;16;7;3;14;1;16;5;20;19;6;8;23;9;17;-;20;48;17;13;4;9;18;9;3;12;35;23;1;2;16;10;8;15;10;20;4;14;5;5;17;13;8;10;28;97;31;1360
"04_11";5;1;5;8;10;3;8;4;3;-;22;2;17;3;10;17;12;7;25;5;4;14;14;7;10;3;18;8;7;13;6;5;19;16;4;12;16;13;3;-;23;6;6;8;14;8;8;13;8;7;6;-;10;3;9;5;-;4;12;11;8;4;14;17;6;6;2;8;51;7;5;8;10;16;13;7;21;30;11;-;4;11;10;6;13;11;13;2;6;11;3;14;14;5;11;5;115;13;1031
"05_11";-;3;2;-;1;1;1;-;1;-;2;2;-;1;2;4;2;-;5;1;-;2;3;3;1;2;3;1;2;5;1;1;4;8;-;1;10;-;-;-;5;4;2;5;4;1;2;3;2;-;1;-;6;1;2;2;-;-;5;-;1;1;1;5;-;1;-;3;12;1;2;3;1;-;4;-;1;5;3;1;2;2;5;2;2;1;1;-;1;1;-;4;1;-;1;3;1437;4;1632
"06_11";-;-;-;-;1;1;-;2;4;-;4;-;2;-;5;2;7;1;2;1;1;2;1;1;1;2;-;2;1;3;1;-;-;1;-;3;2;-;-;-;2;1;-;1;3;3;2;-;2;2;1;-;1;-;-;2;-;1;-;1;1;1;1;2;-;-;2;-;3;1;3;5;2;3;1;1;1;1;1;-;-;1;-;-;5;2;1;1;3;-;1;3;2;-;1;1;1354;2;1481
"07_11";-;-;-;-;1;-;1;-;-;-;1;-;-;-;3;4;3;1;2;-;-;7;1;-;-;-;2;2;2;3;-;-;-;2;1;-;9;1;-;-;2;3;-;-;5;-;1;2;-;-;-;-;3;-;-;2;-;-;-;-;1;-;1;1;-;-;-;1;2;1;1;1;-;-;1;-;1;-;3;-;-;-;-;-;3;-;3;-;1;-;-;4;-;-;-;-;494;8;591
"08_11";-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;1;1;-;-;-;1;2;2;2;2;-;1;-;3;1;-;1;-;4;1;5;2;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3;-;-;1;-;-;1;-;-;-;3;-;2;-;1;-;1;-;1;-;-;-;-;3;-;-;-;1;252;1;312
"09_11";1;1;1;2;5;-;2;-;-;1;6;2;2;1;2;4;1;3;3;-;-;4;4;1;2;-;3;1;2;-;1;2;1;5;3;2;2;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;3;1;-;1;-;-;1;3;-;1;-;4;1;1;2;-;5;-;-;3;3;5;1;2;1;1;6;-;1;1;2;1;2;3;1;-;1;-;1;3;2;-;1;-;1812;8;1958
"10_11";11;3;7;13;14;3;24;16;3;4;41;5;10;9;16;21;35;19;29;11;10;22;15;15;15;21;16;12;30;23;12;14;14;33;18;21;18;12;2;6;45;49;20;32;43;17;12;8;7;11;16;1;31;14;17;10;1;12;17;26;21;6;15;32;15;14;6;20;55;12;18;12;11;31;21;11;13;47;19;1;5;23;14;15;19;22;10;8;11;5;7;26;23;16;9;30;80;47;1762
"11_11";13;12;8;20;15;6;14;3;-;7;22;5;20;6;21;17;28;22;29;23;9;14;13;12;18;7;25;7;35;17;9;12;21;25;8;23;33;15;3;3;44;26;16;17;31;9;8;13;9;16;11;-;31;21;8;14;2;12;14;21;19;10;17;39;26;12;9;15;46;14;15;18;14;29;34;5;16;40;26;6;1;18;29;14;26;14;25;8;9;8;8;17;18;8;16;24;24;26;1626
"12_11";19;15;4;11;13;8;15;4;5;6;35;9;14;5;18;19;44;20;49;26;17;24;15;19;17;12;21;9;28;16;8;6;22;32;17;28;37;13;4;5;37;26;18;22;31;15;11;16;16;8;14;1;30;14;20;15;1;13;17;17;24;9;25;47;12;18;16;24;65;22;15;15;20;30;18;8;18;49;23;-;10;22;23;17;53;13;17;7;5;24;7;30;6;8;20;44;63;39;1897
"13_11";8;9;6;11;25;3;15;7;2;6;20;6;31;2;18;18;39;14;48;21;9;25;13;19;9;10;24;12;24;36;13;8;26;24;18;7;25;14;2;2;47;31;14;19;40;12;15;13;10;18;19;-;18;9;13;3;6;6;16;18;26;5;16;47;17;9;11;25;42;23;26;26;14;36;16;5;19;45;19;5;5;13;23;10;22;13;22;8;6;4;8;26;32;16;23;41;31;25;1716
"14_11";5;1;-;8;7;3;7;7;4;-;10;8;6;1;9;6;14;8;16;13;4;6;5;12;3;1;11;3;15;6;6;5;5;7;3;13;13;-;3;1;17;6;12;10;5;5;4;10;2;7;7;-;18;2;12;3;2;2;3;5;5;5;8;24;9;6;8;6;30;3;5;7;3;12;8;3;7;15;14;2;3;4;4;6;21;6;14;-;-;2;2;14;7;3;6;6;7;10;682
"15_11";1;2;1;3;1;1;1;2;-;1;4;1;9;3;7;5;2;4;6;1;1;4;-;2;-;3;4;2;8;4;-;-;5;10;3;4;3;-;-;-;10;-;-;3;4;-;4;5;-;3;1;1;4;1;1;3;-;1;2;2;6;4;1;17;1;-;1;5;16;1;2;2;2;2;2;2;3;13;10;2;1;3;3;3;3;5;2;-;1;3;1;9;-;1;6;4;6;8;304
"16_11";27;6;9;34;21;5;15;7;4;3;49;9;29;8;15;27;53;26;45;22;13;52;34;30;28;13;25;16;51;31;39;14;53;33;22;31;39;8;3;5;46;33;31;29;42;17;20;12;16;18;22;-;35;15;18;5;7;9;21;32;24;12;19;58;21;15;7;25;67;14;27;16;19;54;41;15;45;68;48;3;9;36;25;19;30;20;29;13;17;8;6;20;26;13;35;20;34;56;2396
"17_11";24;8;12;28;21;5;15;4;-;5;23;5;19;10;22;25;32;20;59;28;9;28;23;17;26;25;45;7;42;18;23;19;43;23;19;29;40;9;7;8;63;22;25;29;43;9;19;10;8;21;10;-;25;10;18;17;5;15;14;32;23;11;16;45;27;17;4;33;75;11;11;26;28;41;33;12;25;51;20;4;9;31;16;16;34;22;32;5;12;9;10;26;24;13;21;33;26;27;2099
"18_11";19;9;7;18;20;7;20;5;3;4;49;10;20;5;25;30;46;18;46;28;16;37;28;27;25;12;24;18;31;31;18;20;24;24;20;38;52;17;9;7;60;25;26;18;24;25;23;19;16;14;14;2;31;22;9;10;1;11;10;28;21;7;9;59;20;16;6;18;68;19;22;20;27;28;29;10;10;51;23;3;6;39;26;26;29;29;39;8;13;4;6;28;20;12;20;34;40;52;2152
"19_11";24;12;7;28;37;9;17;9;4;9;43;16;20;12;27;32;41;27;41;35;4;34;26;24;34;14;26;28;38;26;27;17;49;29;27;40;54;10;5;10;52;17;20;27;33;17;33;29;11;19;15;-;38;19;20;7;8;24;8;45;34;13;23;48;30;12;12;28;72;20;24;24;25;46;27;11;16;55;31;5;8;48;22;9;31;22;32;11;15;10;7;44;26;14;29;33;58;45;2434
"20_11";16;4;7;16;10;3;7;4;2;5;40;9;27;7;14;21;34;25;35;14;2;40;15;16;15;18;21;12;39;30;15;18;37;27;11;14;28;12;2;6;54;17;18;17;29;13;16;15;18;16;10;1;27;9;18;9;2;12;12;17;30;14;15;50;25;5;8;27;61;14;8;20;26;35;19;5;11;45;29;3;3;27;15;13;34;18;17;3;9;7;4;17;15;11;24;17;43;40;1775
"21_11";3;-;1;16;10;2;4;-;4;2;8;7;3;-;4;17;14;13;14;8;3;12;6;6;8;6;14;5;9;8;7;5;4;7;5;11;8;3;7;3;30;9;9;4;7;6;11;5;7;5;3;-;5;11;4;1;2;5;3;11;4;6;5;31;8;9;2;5;21;7;3;9;14;10;18;3;17;26;5;-;1;9;-;4;8;7;3;3;4;4;4;7;8;9;7;7;14;16;723
"22_11";4;2;3;1;1;-;1;-;2;2;2;1;1;5;6;6;8;5;15;2;-;7;5;2;4;2;6;3;7;15;6;5;4;8;-;5;5;-;2;-;5;4;4;3;8;6;8;-;3;1;2;-;8;2;1;2;-;2;2;-;4;-;4;9;2;-;2;16;17;4;6;3;1;2;12;1;2;11;9;-;2;4;7;3;4;9;2;1;1;3;3;3;6;7;2;5;7;18;406
"23_11";16;2;5;24;21;-;8;8;2;7;54;17;14;9;19;28;44;17;54;12;12;47;21;24;37;4;24;16;41;20;30;10;26;28;23;31;45;4;2;3;58;36;12;17;43;21;13;12;15;11;16;3;28;12;15;5;-;26;17;28;17;4;11;55;21;20;9;24;93;12;11;25;19;63;23;5;14;57;29;3;11;30;27;8;28;24;35;3;9;10;7;27;20;16;32;21;36;42;2098
"24_11";17;6;5;29;16;4;36;4;9;7;44;14;14;4;19;22;42;23;42;10;17;27;30;24;26;26;32;15;29;17;26;6;31;39;14;38;44;11;3;8;45;18;29;17;47;21;12;15;6;9;10;1;17;10;11;9;2;15;21;28;21;8;17;48;21;19;8;32;68;15;16;19;9;34;16;8;22;73;12;4;10;18;18;13;39;21;19;10;10;10;3;38;23;11;15;34;32;41;2008
"25_11";7;6;-;11;20;2;10;4;1;5;27;6;9;8;6;12;23;6;39;16;5;28;20;15;14;4;17;9;18;14;12;5;26;17;12;27;30;6;4;7;16;16;19;8;28;9;13;14;8;8;9;-;16;4;6;6;-;2;10;11;16;6;11;30;14;11;-;21;59;7;4;8;10;31;21;10;6;45;19;1;3;15;15;4;16;12;16;7;7;4;6;16;19;5;14;13;24;36;1273
"26_11";23;11;7;39;18;10;13;12;7;5;45;10;25;8;17;28;36;23;34;26;11;31;22;39;24;12;36;23;40;19;28;20;38;44;39;40;29;10;8;12;24;20;29;30;40;18;30;23;17;12;15;-;24;17;11;9;7;24;16;33;44;6;17;56;24;19;8;44;79;19;26;17;25;45;46;14;24;68;20;3;7;31;18;9;41;17;37;6;19;20;13;35;26;12;19;18;45;36;2334
"27_11";19;4;4;28;19;9;18;11;5;8;40;14;12;8;16;23;34;14;41;29;7;30;18;44;17;15;42;9;34;24;18;17;27;29;26;28;50;4;4;8;22;16;34;34;27;15;21;21;11;14;12;-;15;15;15;1;3;20;28;10;22;4;22;32;15;13;11;31;60;15;16;13;16;41;28;9;30;55;33;1;11;29;13;7;27;20;25;5;13;12;9;42;37;5;25;18;30;45;1981
"28_11";6;3;1;9;10;6;4;1;1;1;19;4;5;6;4;7;7;13;20;7;5;12;8;11;3;10;9;6;9;10;5;5;11;11;3;19;12;4;4;2;5;8;16;4;25;6;3;5;4;5;2;-;12;4;4;1;5;3;9;5;11;5;4;8;11;2;2;3;25;15;4;5;8;13;14;6;8;31;16;-;1;6;13;7;13;5;9;8;8;17;6;14;5;5;19;13;4;14;777
"29_11";3;1;-;5;2;3;2;1;2;1;4;1;2;3;2;6;-;6;9;2;4;6;5;6;2;2;4;3;2;4;4;2;8;8;1;4;4;1;1;1;4;-;4;-;4;8;4;1;1;2;-;-;2;4;4;1;1;2;1;8;3;3;5;6;2;3;-;8;26;1;2;3;1;9;4;3;1;6;4;-;3;4;3;2;8;5;2;2;1;1;5;19;2;-;3;5;11;14;358
"30_11";14;9;9;29;17;2;12;12;2;6;45;14;21;8;20;24;43;23;62;27;12;37;28;28;18;18;29;20;41;29;40;14;26;35;19;39;58;16;4;6;18;20;21;12;56;23;24;12;16;20;20;2;23;18;13;10;-;16;22;27;21;7;28;39;28;25;12;38;73;13;26;23;6;38;39;9;19;66;31;2;6;23;27;14;37;18;32;8;15;9;15;31;21;20;33;31;45;51;2268
"01_12";9;2;-;16;15;7;8;4;7;3;27;10;10;4;21;20;26;17;49;21;5;32;17;18;14;6;20;11;31;30;41;14;19;21;18;31;48;4;6;10;16;34;13;13;34;11;19;11;6;6;6;2;19;14;10;9;4;11;14;14;19;5;15;27;16;10;8;13;44;3;4;12;20;34;24;5;17;51;27;4;5;20;22;8;28;15;21;9;11;6;7;21;11;10;26;20;53;68;1657
"02_12";17;13;4;21;21;5;14;13;5;4;25;10;13;7;18;25;14;12;39;23;11;15;12;8;10;12;28;14;31;13;9;12;14;27;16;21;32;3;6;9;16;17;11;33;28;24;3;11;6;12;11;3;21;12;21;14;3;9;14;17;21;5;19;38;22;9;5;24;46;18;15;13;12;23;16;6;10;36;21;2;4;17;16;13;33;9;16;5;14;13;5;21;13;10;23;22;26;49;1562
"03_12";12;4;5;10;15;8;21;6;3;4;11;5;11;5;27;22;12;17;29;17;11;26;8;16;5;12;26;18;30;22;5;12;15;29;11;12;42;5;2;6;14;12;15;19;16;15;15;18;7;19;10;-;30;5;13;15;3;13;27;16;37;6;15;41;12;9;7;17;41;18;14;26;10;20;17;7;16;40;29;1;5;12;14;10;18;15;22;3;15;13;14;39;10;4;22;8;73;80;1599
"04_12";11;3;5;4;16;5;17;10;6;6;26;16;5;8;15;14;20;7;23;14;5;28;20;16;7;33;18;5;29;14;8;7;21;32;10;23;28;4;5;7;18;9;10;16;25;21;11;9;6;8;9;1;22;15;13;10;-;9;9;12;25;2;12;27;10;9;17;22;26;26;13;11;14;13;7;6;4;18;22;2;4;23;19;8;25;5;13;5;11;16;9;17;10;3;19;30;47;90;1424
"05_12";2;1;4;1;10;1;12;5;-;-;5;3;-;4;4;6;2;2;7;2;5;7;4;2;3;10;3;4;9;6;3;2;3;12;1;8;19;2;-;4;9;1;4;9;8;5;7;4;2;2;11;-;4;2;4;1;2;1;2;2;6;1;7;10;1;1;6;8;4;11;9;7;4;6;4;5;1;6;10;-;3;5;13;6;13;3;2;2;3;2;1;8;6;3;4;5;18;43;505
"06_12";1;1;-;3;-;2;3;-;-;-;2;-;1;1;2;3;3;-;-;-;4;12;3;4;2;1;4;-;4;5;1;1;1;4;3;1;10;-;-;1;3;-;-;1;-;-;1;-;-;1;2;-;1;-;2;1;-;-;3;3;3;-;-;3;1;2;-;-;2;1;4;1;2;3;1;2;2;1;6;-;-;2;2;5;1;-;1;2;2;3;-;1;7;3;1;1;7;11;184
"07_12";12;9;4;6;7;6;17;3;2;4;14;9;9;10;14;20;16;4;19;11;8;19;8;14;6;10;16;8;20;15;3;3;11;32;6;17;48;4;2;6;14;15;5;14;24;10;6;9;15;4;9;-;29;10;8;7;1;3;14;10;24;6;10;24;5;9;7;16;23;14;11;26;13;18;11;6;7;11;16;1;5;16;12;7;28;8;15;7;7;11;6;22;11;6;18;15;28;59;1198
"08_12";9;7;3;13;9;4;18;5;4;1;23;9;10;3;11;22;27;9;10;10;8;15;9;14;14;19;8;5;8;20;6;9;17;19;8;22;34;3;3;4;19;14;3;21;16;7;12;9;7;6;14;-;16;12;15;2;-;5;6;8;18;8;13;26;7;13;15;17;35;9;25;16;13;19;13;5;7;14;19;2;5;16;16;4;18;10;15;7;9;12;5;25;11;16;21;27;117;64;1336
"09_12";16;6;2;10;8;3;16;7;2;3;18;7;6;2;15;9;14;5;16;12;7;9;6;19;14;17;12;7;16;10;8;10;17;29;13;27;34;6;3;3;9;6;3;19;9;10;10;26;9;5;14;-;17;14;13;7;1;4;7;10;10;9;10;10;1;12;3;16;30;12;13;14;4;15;10;11;4;16;18;-;3;7;12;15;24;12;25;4;6;8;8;28;4;12;9;19;86;63;1200
"10_12";13;1;2;5;9;3;8;12;6;4;13;10;14;9;17;11;15;7;7;8;3;13;12;7;6;11;21;9;16;9;2;6;14;25;11;11;25;3;4;5;13;17;3;21;11;8;7;7;18;3;7;-;19;10;14;4;-;10;7;20;11;5;9;27;3;8;4;16;29;13;10;8;11;17;15;5;12;23;18;-;7;15;11;5;20;6;10;4;5;3;9;21;9;6;12;16;29;48;1066
"11_12";8;4;1;8;13;4;8;7;2;4;9;9;8;5;13;9;11;6;7;2;5;10;10;12;8;17;7;3;16;11;2;7;15;21;8;15;21;3;1;6;1;6;8;18;8;13;5;16;8;-;5;1;14;14;9;9;1;6;6;7;15;4;13;11;3;2;5;15;16;17;16;10;4;10;9;12;9;13;21;-;4;14;9;7;24;10;10;4;2;23;5;15;10;6;10;19;23;37;928
"12_12";2;-;-;-;-;2;-;-;1;-;1;-;-;-;4;3;1;1;3;1;-;-;2;-;-;1;2;1;3;4;1;-;1;2;1;1;3;-;3;-;2;1;-;-;2;-;-;2;2;-;1;-;2;1;4;-;-;-;2;2;2;-;1;1;-;-;-;1;6;1;1;-;3;2;2;-;1;1;5;-;4;2;1;1;2;-;-;-;-;4;2;2;-;-;1;-;3;5;119
"13_12";1;3;-;3;1;-;3;8;-;-;4;1;1;4;2;3;5;1;6;1;-;-;-;3;3;4;3;-;6;1;1;2;2;4;-;-;7;2;-;1;1;4;4;4;2;-;7;3;4;1;11;-;4;3;-;2;-;-;-;5;1;-;3;3;-;3;-;2;2;12;11;-;1;2;4;1;3;6;3;-;-;3;3;-;1;7;3;2;-;8;2;6;11;2;4;4;7;14;275
"14_12";5;2;-;1;1;1;4;5;-;1;6;3;6;1;6;10;11;7;5;2;3;5;1;5;3;6;8;4;4;12;-;5;8;30;6;-;6;1;3;6;2;15;1;10;9;6;7;7;6;3;4;-;16;16;9;3;-;-;4;6;10;-;10;7;6;7;1;7;12;12;6;5;1;5;1;2;2;7;5;1;3;3;3;6;13;6;3;1;4;5;2;7;3;1;8;13;17;31;553
"15_12";17;5;5;3;16;12;27;6;4;6;14;10;4;15;16;22;19;16;22;8;8;16;15;16;20;7;18;5;35;25;9;11;17;24;10;29;23;11;3;8;11;27;5;19;24;8;10;28;15;5;6;-;21;14;9;5;1;14;10;12;26;2;18;29;10;9;15;30;34;17;18;37;8;22;20;15;7;25;26;2;5;14;14;6;35;14;12;9;19;11;11;34;8;6;10;41;26;67;1513
"16_12";25;7;2;11;10;1;20;5;3;4;8;8;8;14;16;22;20;11;15;12;7;18;18;18;6;17;20;15;10;13;2;2;15;28;8;19;17;3;1;9;9;14;3;17;24;4;7;15;14;7;21;1;28;16;8;5;3;-;11;13;12;7;15;8;3;7;11;10;37;20;31;19;4;23;18;3;10;24;29;2;4;24;10;20;14;6;11;13;14;8;7;33;13;12;15;19;17;59;1280
"17_12";20;7;2;9;3;4;17;5;1;2;4;7;10;8;7;17;19;6;16;14;4;11;16;16;6;8;19;9;11;12;9;6;9;16;13;14;19;4;8;6;12;5;7;12;12;12;4;7;9;3;9;-;10;18;3;1;2;7;6;10;6;4;8;16;6;2;8;7;36;8;14;12;8;23;19;2;6;16;30;4;1;9;10;8;13;7;10;10;11;5;8;21;12;8;14;19;35;41;1020
"18_12";20;7;3;8;5;6;13;9;4;1;5;10;8;7;22;11;16;5;13;7;10;15;19;10;10;10;24;4;8;12;6;8;21;37;10;18;13;9;2;3;10;13;6;19;15;6;6;12;12;10;14;-;19;11;12;6;1;7;6;5;9;3;22;19;9;10;9;5;40;9;26;11;10;24;13;13;8;16;11;2;8;13;19;14;30;10;16;9;6;7;8;24;8;6;21;23;34;62;1206
"19_12";14;-;2;8;-;1;2;1;2;1;3;1;1;1;4;8;5;4;1;9;1;1;3;10;-;3;4;2;8;7;2;5;3;18;1;5;7;3;1;1;7;1;2;4;1;7;4;3;5;4;4;-;8;7;1;-;1;4;1;9;9;1;9;8;6;4;2;5;8;14;6;1;4;9;6;-;1;7;4;2;-;19;2;8;8;1;6;1;-;1;3;7;8;3;5;4;13;24;445
