"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"06/06";5;2;6;17;14;-;1;3;2;3;13;3;7;3;6;7;33;18;25;10;7;29;14;9;20;2;10;7;10;57;17;13;5;2;20;34;12;-;1;3;24;39;18;5;32;8;8;5;1;4;7;-;5;11;3;16;-;2;19;16;3;10;1;14;10;10;-;8;23;1;8;4;9;9;22;6;14;25;10;-;3;8;10;3;13;7;8;5;11;4;5;10;21;9;12;6;995
"07/06";5;-;6;-;18;-;3;-;-;1;12;3;13;2;7;4;13;5;10;3;2;7;15;17;8;-;1;8;8;20;6;6;6;3;15;20;12;5;1;3;7;24;15;3;15;6;6;2;2;2;2;-;-;2;2;12;-;6;7;7;4;10;2;5;6;5;2;3;6;3;3;9;5;6;10;5;-;5;5;2;2;7;12;2;7;17;3;3;13;-;5;6;8;10;6;2;587
"08/06";24;9;15;36;23;3;13;15;2;10;66;9;51;5;15;18;112;37;94;27;17;65;63;44;66;24;28;40;24;128;37;53;21;26;87;71;50;16;3;7;49;116;21;11;93;36;65;12;9;19;17;-;22;18;18;54;4;30;50;42;7;30;20;51;19;23;4;34;62;17;16;27;20;53;73;28;56;110;10;7;5;24;41;10;35;55;21;10;37;12;26;25;35;25;33;37;3238
"09/06";17;7;21;40;22;2;15;10;3;13;66;11;35;9;15;18;73;49;94;26;24;58;41;44;56;48;22;26;42;95;30;40;32;30;45;75;54;19;9;8;76;82;36;25;103;40;58;8;14;23;16;1;20;11;10;53;7;15;34;33;15;18;20;39;27;27;9;39;64;15;18;25;21;35;55;20;33;105;28;4;8;36;40;11;36;51;33;13;39;10;20;41;28;21;35;23;3071
"10/06";17;4;14;22;29;3;22;12;5;3;61;4;49;6;11;15;76;42;102;12;18;47;43;48;61;135;21;25;33;112;21;26;25;34;57;54;52;36;11;5;63;103;23;11;86;34;47;13;7;23;22;-;30;9;9;34;7;16;38;30;11;9;6;55;17;23;16;26;59;10;19;19;17;43;38;16;39;100;16;3;7;15;31;12;27;32;14;6;26;8;14;12;37;21;31;23;2836
"11/06";20;2;16;23;17;4;8;15;2;8;72;7;35;4;14;9;78;25;111;17;16;58;56;46;50;121;18;32;33;97;16;32;37;11;51;65;34;32;6;6;48;103;33;12;93;16;36;9;7;23;14;3;17;18;8;64;13;13;41;30;16;30;11;37;18;20;5;31;44;10;15;12;37;47;46;22;35;80;13;-;4;30;41;19;30;37;17;5;31;8;14;28;34;35;20;31;2818
"12/06";15;2;14;22;22;4;18;6;8;7;59;10;31;9;13;9;50;27;82;15;17;69;41;42;31;226;19;18;28;95;23;28;15;19;62;69;41;19;7;16;67;71;20;15;77;24;41;8;10;27;10;-;29;15;10;42;9;23;42;25;12;8;9;44;15;28;7;30;55;11;12;7;16;48;33;21;30;80;24;6;6;19;43;26;35;52;19;14;25;7;20;34;28;29;28;36;2790
"13/06";5;2;15;16;8;2;8;3;1;1;14;8;16;5;5;12;14;28;29;7;5;37;24;17;28;8;11;11;15;41;18;15;4;8;46;19;22;12;5;6;19;67;13;4;50;17;25;5;1;12;6;-;5;5;5;14;4;10;17;10;7;5;5;9;19;7;1;7;22;4;13;8;13;22;24;11;22;37;9;5;3;11;26;8;10;10;15;4;29;5;14;11;17;13;13;14;1293
"14/06";2;4;6;4;6;-;4;3;1;1;8;2;13;4;2;2;11;6;24;1;1;9;18;10;9;4;2;5;3;25;9;10;6;2;20;15;6;4;1;5;6;31;3;3;31;9;8;13;3;3;3;-;2;5;3;10;-;5;6;7;4;3;5;8;3;2;3;3;18;5;4;3;7;3;20;2;7;21;7;1;-;3;3;2;1;15;3;4;3;-;12;4;5;9;7;7;626
"15/06";18;7;12;32;27;3;9;12;8;5;74;12;38;8;17;15;66;53;90;25;17;73;70;43;60;71;31;28;40;114;31;43;26;20;54;61;38;19;6;12;55;112;42;10;99;29;43;19;6;22;20;3;28;24;16;47;8;20;38;32;24;21;20;59;25;25;9;34;60;14;24;10;28;43;58;33;44;103;26;1;11;29;54;23;40;47;20;17;34;11;24;17;28;34;25;39;3175
